Tipo,"Denominación",N°,Fecha,"Medio de publicación y fecha","Fecha de última actualización","Efectos Generales","Descripción del objeto del acto"
Resolución,"Convenio de colaboración entre la Municipalidad de Machalí y el Consejo para la Transparencia",303,12.06.2012,"Sitio web
12.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Zapallar y el Consejo para la Transparencia",300,12.06.2012,"Sitio web
12.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Quilpué y el Consejo para la Transparencia",291,12.06.2012,"Sitio web
12.06.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Maipú y el Consejo para la Transparencia",257,30.05.2012,"Sitio web
30.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de La Pintana y el Consejo para la Transparencia",256,30.05.2012,"Sitio web
30.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Cerro Navia y el Consejo para la Transparencia",255,30.05.2012,"Sitio web
30.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Valparaíso y el Consejo para la Transparencia",244,25.05.2012,"Sitio web
25.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Buin y el Consejo para la Transparencia",243,25.05.2012,"Sitio web
25.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de San Antonio y el Consejo para la Transparencia",242,25.05.2012,"Sitio web
25.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de San Joaquín y el Consejo para la Transparencia",214,15.05.2012,"Sitio web
15.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Cerrillo y el Consejo para la Transparencia",206,11.05.2012,"Sitio web
11.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Pirque y el Consejo para la Transparencia",201,10.05.2012,"Sitio web
10.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Calle Larga y el Consejo para la Transparencia",200,10.05.2012,"Sitio web
10.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Hijuelas y el Consejo para la Transparencia",199,10.05.2012,"Sitio web
10.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Lo Prado y el Consejo para la Transparencia",198,10.05.2012,"Sitio web
10.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Pirque y el Consejo para la Transparencia",201,10.05.2012,"Sitio web
10.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Colina y el Consejo para la Transparencia",188,08.05.2012,"Sitio web
08.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Rancagua y el Consejo para la Transparencia",187,08.05.2012,"Sitio web
08.05.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de San José de Maipo y el Consejo para la Transparencia",161,24.04.2012,"Sitio web
24.04.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Codegua y el Consejo para la Transparencia",141,19.04.2012,"Sitio web
19.04.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de Peñalolén y el Consejo para la Transparencia",142,19.04.2012,"Sitio web
19.04.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre la Municipalidad de La Granja y el Consejo para la Transparencia",137,18.04.2012,"Sitio web
18.04.2012","Sin modificaciones","No","Implementar el modelo de Gestión de Transparencia Municipal, que forma parte de la iniciativa para la generación de la Red de Organizaciones Comprometidas con la Transparencia de la Gestión Pública."
Resolución,"Convenio de colaboración entre el Instituto Nacional de DD. HH. y el Consejo para la Transparencia",90,26.03.2012,"Sitio web
26.03.2012","Sin modificaciones","No","Desarrollar actividades conjuntas tendientes a promover y difundir experiencias, estudios e iniciativas, tanto nacionales como internacionales, que relacionen la libertad de expresión y el derecho de acceso a la información pública, impulsando el conocimiento, ejercicio y respeto de ambos derechos en la sociedad."
Convenio,"Convenio de asesoría entre el Consejo para la Transparencia y la Dirección Nacional del Servicio Civil",s/n,28.12.2011,"Sitio web
28.12.2011","Sin modificaciones","No","La Dirección Nacional del Servicio Civil (DNSC) realizará una Asesoría Estratégica al Consejo para la Transparencia, en ámbitos propios de la gestión de personas, en el marco del proceso estructuración y definición de los procedimientos internos de su Unidad de Gestión de Personas."
Resolución,"[Convenio](/consejo/site/artic/20131105/asocfile/20131105164728/plan_de_inicio_del_proyecto_entre_pnud_y_cplt.pdf) de Asistencia Preparatoria entre el Consejo para la Transparencia y el Programa de Naciones Unidas para el Desarrollo (PNUD)",407,01.12.2011,"Sitio web
1.2.2011","Sin modificaciones","No","Se aprueba el convenio sobre el proyecto denominado "Expandiendo el derecho de acceso a la información para fortalecer la democracia y gobernabilidad", en el cual se trabajará en capacitaciones, ley 20.285, impacto del derecho de acceso, líneas estratégicas de colaboración entre el PNUD y el CPLT, entre otros"
Resolución,"Convenio de Colaboración entre el Consejo para la Transparencia y Fundación AVINA, cuyo objetivo principal es colaborar en la difusión e implementación de los principios de Transparencia.",204,08.08.2011,"Sitio web
8.08.2011","Sin modificaciones","No","A través de apoyo, buenas prácticas y conocimientos por ambas partes, se establecerá un canal de difusión hacia el público, que permitirá promover una cultura de la transparencia en Chile."
Convenio,"Convenio de Colaboración entre el Consejo para la Transparencia y Servicio Civil",s/n,05.08.2011,"Sitio web
5.08.2011","Sin modificaciones","No","Establecer actividades de capacitación a funcionarios públicos en materia de transparencia y acceso a la información, reforzar contenidos de Ética Pública y de Cultura de la Transparencia."
Resolución,"Convenio de Colaboración entre el Consejo para la Transparencia y Corporación PARTICIPA, cuyo objetivo principal es cooperar en la difusión de la Ley de Transparencia y el Derecho de acceso a la información con las organizaciones sociales.",184,26.07.2011,"Sitio web
26.07.2011","Sin modificaciones","No","Establecer actividades de capacitación que motiven a una ciudadanía más informada, conocedora de sus derechos y de la complejidad de los asuntos públicos, con capacidad de diálogo y representación de intereses, lo cual permitirá promover una cultura de la transparencia en Chile."
Convenio,"Convenio de colaboración entre la Agencia Española de Protección de Datos y el Consejo para la Transparencia",s/n,26.05.2011,"Sitio web
26.05.2011","Sin modificaciones","No","Establecer la realización de actividades conjuntas de cooperación, formación, desarrollo de programas y proyectos específicos en las áreas que se determinen de mutuo acuerdo."
Convenio,"Convenio de cooperación entre el Consejo para la Transparencia, la Unidad de Acceso a la Información Pública de Uruguay y Agesic",s/n,20.04.2011,"Sitio web
20.04.2011","Sin modificaciones","No","Establecer las bases y mecanismos operativos de la cooperación entre las partes, que permita coordinar estrategias y actividades dirigidas al fortalecimiento de la cultura de la transparencia"
Convenio,"Convenio de coolaboración Consejo para la Transparencia y Ministerio Secretaría General de la Presidencia",s/n,15.04.2011,"Sitio web
15.04.2011","Sin modificaciones","No","Acuerdan un trabajo colaborativo tendiente a implementar un "Portal de Transparencia del Estado de Chile" para facilitar el cumplimiento de la Ley N°20.285, fijando su rol , características, diseño, funcionalidades, especificaciones y finalidades."
Convenio,"Convenio de coolaboración Consejo para la Transparencia y Ministerio Secretaría General de la Presidencia",s/n,24.03.2011,"","Sin modificaciones","No","La SUBDERE, en conjunto con el Consejo para la Transparencia y la ACHM, han decidido trabajar coordinadamente y prestarse colaboración para desarrollar una serie de acciones tendientes a dotar a los municipios y a sus funcionarios de herramientas y sistemas que les permitan realizar una gestión más eficiente."
Acuerdo de cooperación,"Acuerdo de cooperación entre el Consejo para la Transparencia y The National Security Archive",s/n,14.12.2010,"Sitio web
25.11.2010","Sin modificaciones","No","Facilitar el intercambio de experiencias entre profesionales de acceso a la información, organizar agenda de visitas y mantener canales de comunicación abierta, entre otros."
Protocolo de acuerdo,"Protocolo de acuerdo entre Consejo para la Transparencia y Asociación de Municipalidades de la Región del Maule",s/n,25.11.2010,"Sitio web
25.11.2010","Sin modificaciones","No","Cooperar, asistir y complementarse, dentro de las esferas de sus competencias, en especial, en la creación, ejecución y desarrollo de grupos de trabajo y de proyectos conjuntos y otras formas de cooperación que las dos organizaciones puedan organizar."
Convenio Marco,"Convenio marco de acuerdo Instituto de Estudios Judiciales y Consejo para la Transparencia",s/n,10.11.2010,"","Sin modificaciones","No","Ambas Instituciones vienen en suscribir el presente Convenio, mediante el cual desean establecer el Marco de Referencia de una relación de colaboración y de cooperación, que busca desarrollar y ejecutar con eficiencia las distintas iniciativas que se asuman."
Acuerdo de cooperación,"Convenio de Cooperación en materia de Transparencia y Acceso a la Información entre el Consejo para la Transparencia de la República de Chile y el Instituto Federal de Acceso a la Información Pública de los Estados Unidos Mexicanos",s/n,20.04.2010,"Sitio web 20.04.2010","Sin modificaciones","No","Establecer las bases y mecanismos operativos de la cooperación entre las partes, que les permita coordinar la ejecución de estrategias y actividades dirigidas al fortalecimiento de la cultura de la transparencia y la apertura informativa, buscando el beneficio de las sociedades de la República de Chile y los Estados Unidos Mexicanos, mediante el intercambio y promoción de experiencias y herramientas de acceso a la información pública gubernamental."
Convenio de cooperación,"Convenio de Cooperación en materia de Transparencia y Acceso a la Información entre el Consejo para la Transparencia de la República de Chile y el Instituto Federal de Acceso a la Información Pública de los Estados Unidos Mexicanos",s/n,20.04.2010,"Sitio web
20.04.2010","Sin modificaciones","No","Establecer las bases y mecanismos operativos de la cooperación entre las partes, que les permita coordinar la ejecución de estrategias y actividades dirigidas al fortalecimiento de la cultura de la transparencia y la apertura informativa, buscando el beneficio de las sociedades de la República de Chile y los Estados Unidos Mexicanos, mediante el intercambio y promoción de experiencias y herramientas de acceso a la información pública gubernamental."
Memorandum de entendimiento,"Entendimiento entre Consejo para la Transparencia y Banco Mundial",s/n,19.04.2010,"Sitio web
19.04.2010","Sin modificaciones","No","Establecer relaciones de colaboración entre las dos instituciones para promover la cooperación en una asociación de beneficio mutuo según lo acordado en el documento."
Acuerdo de Cooperación,"Acuerdo de cooperación entre el Consejo para la Transparencia y The National Security Archive",s/n,14.12.2010,"Sitio web
14.12.2010","Sin modificaciones","No","Facilitar el intercambio de experiencias entre profesionales de acceso a la información, organizar agenda de visitas y mantener canales de comunicación abierta, entre otros."
Convenio marco,"Convenio marco de acuerdo Instituto de Estudios Judiciales y Consejo para la Transparencia",s/n,10.11.2010,"Sitio web
10.11.2010","Sin modificaciones","No","Ambas Instituciones vienen en suscribir el presente Convenio, mediante el cual desean establecer el Marco de Referencia de una relación de colaboración y de cooperación, que busca desarrollar y ejecutar con eficiencia las distintas iniciativas que se asuman."
Memorandum de entendimiento,"Memorándum de entendimiento entre Consejo para la Transparencia y Pontificia Universidad Católica de Chile",s/n,19.10.2009,"Sitio web
19.10.2009","Sin modificaciones","No","Las partes expresan su deseo de cooperar, asistirse y complementarse, de acuerdo con lo con se convenga en cada oportunidad, en especial, las áreas descritas."
Protocolo de acuerdo,"Protocolo de acuerdo entre Ministerio Secretaría General de la Presidencia y Consejo para la Transparencia",s/n,03.07.2009,"Sitio web
03.07.2009","Sin modificaciones","No","El objeto de este protocolo es mantener canales de cooperación y coordinación para promover el cumplimiento de la Ley de Transparencia, aprovechar las experiencias y facultades de ambas partes y potenciar las sinergias que se pueden producir en este trabajo conjunto."
Convenio de colaboración,"Convenio de colaboración entre la Contraloría General de la República y el Consejo para la Transparencia",s/n,03.06.2009,"Sitio web
03.06.2009","Sin modificaciones","No","La Contraloría y el Consejo celebran un convenio de cooperación en los términos que señalan las cláusulas contenidas en el mismo."
Tipo,"Denominación",N°,Fecha,"Fecha de última actualización","Medio de publicación y fecha","Efectos Generales","Descripción del objeto del acto"
Resolución Fondo Nacional de Salud,"Resolución de sumario en caso rol C1190-11",188,10-05-2013,"N/A","Sitio web del organismo","No","Sobreseimiento"
Resolución Municipalidad de lo Prado,"Resolución de sumario en caso rol C140-12",190,10-05-2013,"N/A","Sitio web del organismo","No","Sobreseimiento"
Resolución Municipalidad de Curicó,"Resolución de sumario en caso rol C497-10",49,07-03-2013,"N/A","Sitio web del organismo","No","Sanción 20% Ex Alcalde y Ex Director de Control Interno"
Resolución Municipalidad de Cartagena,"Resolución de sumario en caso rol C1436-11",50,07-03-2013,"N/A","Sitio web del organismo","No","Sanción 20% Ex Alcalde"
Resolución Municipalidad de Bulnes,"
TA Municipal - Abril 2012",51,31-01-2013,"N/A","Sitio web del organismo","No","Sanción 20% administradora municipal"
Resolución Municipalidad de Nancagua,"TA Municipal - Abril 2012",48,31-01-2013,"N/A","Sitio web del organismo","No","Sobreseimiento"
Resolución Municipalidad de Las Cabras,"TA Municipal - Abril 2012",73,26-02-2013,"N/A","Sitio web del organismo","No","Sanción 30% alcalde y director de control"
Resolución Municipalidad de Rengo,"TA Municipal - Abril 2012",77,26-02-2013,"N/A","Sitio web del organismo","No","Sanción 20% alcalde y director de control"
Resolución Municipalidad de Los Álamos,"TA Municipal - Abril 2012",76,26-02-2013,"N/A","Sitio web del organismo","No","Sanción 20% funcionarios responsables (2)"
Resolución Municipalidad de El Monte,"TA Municipal - Abril 2012",78,26-02-2013,"N/A","Sitio web del organismo","No","Sanción 20% alcalde"
Resolución Municipalidad de Concón,"Resolución de sumario en caso rol C693-11",74,12-03-2013,"N/A","Sitio web del organismo","No","Sobreseimiento"
Resolución Municipalidad de Independencia,"TA Municipal - Abril 2012",75,26-02-2013,"N/A","Sitio web del organismo","No","Absuelve Director de control"
Resolución Municipalidad de Estación Central,"TA Municipal - Abril 2012",99,25-03-2013,"N/A","Sitio web del organismo","No","Absuelve a Alcalde y a Dir. de Control"
Resolución Municipalidad de Coltauco,"TA Municipal - Abril 2012",100,25-03-2013,"N/A","Sitio web del organismo","No","Absuelve a Alcalde y a Adm. Municipal"
Resolución Municipalidad de Futrono,"TA Municipal - Abril 2012",108,28-03-2013,"N/A","Sitio web del organismo","No","Sanción 20% a Jefe de Control"
Resolución Municipalidad de Río Bueno,"TA Municipal - Abril 2012",109,28-03-2013,"N/A","Sitio web del organismo","No","Sanción a 20% Adm. Mun. y absuelve a Dir. Cont"
Resolución Municipalidad de Iquique,"TA Municipal - Abril 2012",110,28-03-2013,"N/A","Sitio web del organismo","No","Sanción 20% a Encargado de Transparencia."
Resolución,"Resolución de sumario en reclamo rol C1194-11",557,26.10.2012,"N/A","Sitio web del organismo","No","Sanción"
Resolución,"Resolución de sumario en reclamo rol C88-11",495,14.09.2012,"N/A","Sitio web del organismo","No","Sanción"
Resolución,"Resolución de sumario en reclamo rol C861-10",496,14.09.2012,"N/A","Sitio web del organismo","No","Sanción"
Resolución,"Resolución de sumario en reclamo rol C139-11",457,27.08.201,"N/A","Sitio web del organismo","No","Sanción"
Resolución,"Resolución de sumario en reclamo rol A308-09",59,17.02.2012,"N/A","Sitio web del organismo","No","Sanción"
Resolución,"Resolución de sumario en reclamo rol C34-11",40,27.01.2012,"N/A","Sitio web del organismo","No","Sanción"
Resolución,"Resolución de sumario en reclamo rol C62-10",85,23.03.2012,"N/A","Sitio web del organismo","No","Sanción"
Resolución,"Resolución de sumario en reclamo rol R19-09",84,14.04.2011,"N/A","Sitio web del organismo","No","Sanción"
Resolución,"Resolución de sumario en reclamo rol R06-09",83,14.04.2011,"N/A","Sitio web del organismo","No","Sanción"
Resolución,"Resolución de sumario en reclamo rol R13-09",78,11.04.2011,"N/A","Sitio web del organismo","No","Sanción"
Tipo,"Denominación",N°,Fecha,"Fecha de última actualización","Medio de publicidad y fecha","Efectos Generales","Descripción del objeto del acto"
Recomendación,"",S/N,15/05/13,"Sin modificaciones","Notificación por carta certificada 15.05.2013","Sí","Recomendaciones cuyo objeto es incorporar elementos de transparencia en la gestión de las pruebas de selección universitaria que dirige el Departamento de Evaluación, Medición y Registro Educacional (DEMRE) de la Universidad de Chile, en conjunto con el Comité Técnico Asesor de la prueba de selección universitario (PSU) del Consejo de Rectores y el Ministerio de Educación."
Recomendación,"Recomendación a las diferentes Municipalidades, adoptar todas las medidas necesarias para el adecuado cumplimiento de la Ley Nº 19.628 sobre Protección de la Vida Privada",S/N,27/03/13,"Sin modificaciones","Notificación por carta certificada 28.03.2013","Sí","Recomendaciones del Consejo para la Transparencia sobre protección de datos personales por parte de los órganos de la Administración del Estado, en la celebración de los contratos de distribución de boletines de cobro, comunicación de morosidad de impuestos, derechos municipales y publicación de datos personales de los morosos con empresas especializadas en el rubro."
Recomendación,"Recomendación sobre Protección de Datos Personales por parte de los órganos de la administración del Estado",S/N,31.08.2011,"Sin modificaciones","Diario Oficial
14.09.2011","Sí","Recomendaciones del Consejo para la Transparencia sobre protección de datos personales por parte de los órganos de la administración del Estado con la finalidad de dar cumplimiento a la Ley N°19.628."
Recomendación,"Recomendaciones para asegurar el adecuado cumplimiento de la Ley de Transparencia durante la etapa de traspaso de mando y asunción de futuras autoridades",Oficio N°90,25.01.2010,"Sin modificaciones","Notificación por carta certificada 25.01.2010","No","Recomendaciones a los órganos y servicios de la Administración del Estado para asegurar el adecuado cumplimiento de la Ley de Transparencia durante la etapa de traspaso de mando y asunción de futuras autoridades"
Tipo,"Denominación",N°,Fecha de última actualización,"Fecha","Medio de publicidad y fecha","Efectos Generales","Descripción del objeto del acto"
Oficio,"Formula recomendaciones a los órganos y servicios de la Administración del Estado para asegurar el adecuado cumplimiento de la Ley de Transparencia durante la etapa de traspaso de mando y asunción de futuras autoridades",432,Sin modificaciones,"31.01.2014","Notificación por carta certificada el 31.01.2014","Si","Con la finalidad de facilitar el acceso a la información que posean los órganos de la Administración del Estado, y considerando la próxima asunción de la Presidenta de la República electa y el subsecuente nombramiento de nuevas autoridades, se adoptaron recomendaciones en orden a que los órganos y servicios de la Administración del Estado faciliten el cumplimiento de las normas contenidas en la Ley de Transparencia y, en especial, los procedimientos administrativos del derecho de acceso a la información."
Oficio,"Precisa en el ámbito municipal el modo de cumplimiento de las obligaciones de Transparencia Activa establecidas en la Ley de Transparencia, su Reglamento y la Instrucción General del Consejo para la Transparencia sobre la materia y requiere su cumplimiento",431,Sin modificaciones,"31.01.2014","Notificación por carta certificada el 31.01.2014","Si","Precisar en el ámbito municipal el modo de cumplimiento de las obligaciones de transparencia activa establecidas en la Ley de Transparencia, su Reglamento y la Instrucción General del Consejo para la Transparencia sobre la materia y requerir su cumplimiento, lo anterior, frente a la necesidad de efectuar algunas precisiones sobre la materia, atendidas las especiales funciones y atribuciones de los municipios, como órganos de la Administración del Estado."
Oficio,"Requiere a las Corporaciones Municipales ajustar procedimiento publicación TA",2079,Sin modificaciones,"29.05.2013","Sitio web del organismo
11.05.2013","No","Requiere a las corporaciones
municipales ajusten sus procedimientos
para dar cumplimiento a las normas de
Transparencia Activa establecidas en la
Ley de Transparencia."
Tipo,"Denominación",N°,Fecha de última actualización,"Fecha","Medio de publicidad y fecha","Efectos Generales","Descripción del objeto del acto"
Resolución,"Deja sin efecto resolución exenta N°437 de 2 de diciembre de 2010 que delega en el jefe de la Unidad de Promoción y Clientes la facultad de firmar "por orden del Director General del Consejo para la Transparencia" las respuestas que den acceso a la información del Consejo",178,Sin modificaciones,"04.05.2012","Sitio web del organismo
04.05.2012","No","Deja sin efecto delegación en el jefe de la Unidad de Promoción y Clientes la facultad de firmar "por orden del Director General del Consejo para la Transparencia" las respuestas que den acceso a la información del Consejo"
